stratum,value,n_held_out,n_current_evaluable,current_coverage_pct,n_candidate_evaluable,candidate_coverage_pct
year,year=2013,2011,0,0.0,0,0.0
year,year=2014,2031,11,0.0054160512063023145,11,0.0054160512063023145
year,year=2015,2136,111,0.05196629213483146,111,0.05196629213483146
year,year=2016,1812,879,0.48509933774834435,879,0.48509933774834435
year,year=2017,2394,1639,0.6846282372598163,1639,0.6846282372598163
year,year=2018,1922,966,0.5026014568158168,966,0.5026014568158168
year,year=2019,2168,1601,0.7384686346863468,1601,0.7384686346863468
year,year=2020,1035,989,0.9555555555555556,989,0.9555555555555556
year,year=2021,564,564,1.0,564,1.0
season,season=monsoon,3749,308,0.08215524139770605,308,0.08215524139770605
season,season=post-monsoon,8758,5318,0.6072162594199589,5318,0.6072162594199589
season,season=pre-monsoon,3566,1134,0.31800336511497473,1134,0.31800336511497473
region,region=NE,4111,1839,0.4473364144976891,1839,0.4473364144976891
region,region=NW,3609,1588,0.4400110834026046,1588,0.4400110834026046
region,region=SE,4773,2014,0.42195684056149174,2014,0.42195684056149174
region,region=SW,3580,1319,0.3684357541899441,1319,0.3684357541899441
well_id,well_id=W_15.6167_77.6042,34,19,0.5588235294117647,19,0.5588235294117647
well_id,well_id=W_15.6228_75.0722,27,10,0.37037037037037035,10,0.37037037037037035
well_id,well_id=W_15.6278_74.1306,23,11,0.4782608695652174,11,0.4782608695652174
well_id,well_id=W_15.6694_80.1708,29,10,0.3448275862068966,10,0.3448275862068966
well_id,well_id=W_15.7081_73.7514,27,8,0.2962962962962963,8,0.2962962962962963
well_id,well_id=W_15.7086_73.855,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_15.7139_75.37,2,0,0.0,0,0.0
well_id,well_id=W_15.7147_80.2372,10,3,0.3,3,0.3
well_id,well_id=W_15.7333_76.0583,30,10,0.3333333333333333,10,0.3333333333333333
well_id,well_id=W_15.7556_75.1097,29,11,0.3793103448275862,11,0.3793103448275862
well_id,well_id=W_15.7556_75.2514,31,10,0.3225806451612903,10,0.3225806451612903
well_id,well_id=W_15.75_75.6514,27,9,0.3333333333333333,9,0.3333333333333333
well_id,well_id=W_15.7689_74.5583,31,10,0.3225806451612903,10,0.3225806451612903
well_id,well_id=W_15.7778_76.7653,27,10,0.37037037037037035,10,0.37037037037037035
well_id,well_id=W_15.7889_76.5083,9,0,0.0,0,0.0
well_id,well_id=W_15.7972_80.4108,25,9,0.36,9,0.36
well_id,well_id=W_15.8017_79.6783,28,8,0.2857142857142857,8,0.2857142857142857
well_id,well_id=W_15.8056_78.0397,14,10,0.7142857142857143,10,0.7142857142857143
well_id,well_id=W_15.8222_79.975,26,8,0.3076923076923077,8,0.3076923076923077
well_id,well_id=W_15.8389_76.4583,21,7,0.3333333333333333,7,0.3333333333333333
well_id,well_id=W_15.8542_77.1208,25,11,0.44,11,0.44
well_id,well_id=W_15.8553_73.7822,20,9,0.45,9,0.45
well_id,well_id=W_15.85_73.65,30,9,0.3,9,0.3
well_id,well_id=W_15.85_75.1167,14,5,0.35714285714285715,5,0.35714285714285715
well_id,well_id=W_15.8667_73.8333,30,9,0.3,9,0.3
well_id,well_id=W_15.8675_74.2333,28,9,0.32142857142857145,9,0.32142857142857145
well_id,well_id=W_15.8833_78.65,28,12,0.42857142857142855,12,0.42857142857142855
