source,window_days,n_held_out,n_file_matched,n_valid_pixel,pct_valid_pixel
chirps,60,16073,12545,12545,0.7805014620792634
chirps,90,16073,12545,12545,0.7805014620792634
chirps,180,16073,13051,13051,0.8119828283456728
chirps,270,16073,13550,13550,0.8430286816400174
chirps,400,16073,14062,14062,0.8748833447396255
chirps,600,16073,15392,15392,0.9576308094319667
chirps,800,16073,16073,16073,1.0
gldas,60,16073,12545,12545,0.7805014620792634
gldas,90,16073,12545,12545,0.7805014620792634
gldas,180,16073,13051,13051,0.8119828283456728
gldas,270,16073,13550,13550,0.8430286816400174
gldas,400,16073,14062,14062,0.8748833447396255
gldas,600,16073,15392,15392,0.9576308094319667
gldas,800,16073,16073,16073,1.0
sentinel2_ndvi,60,16073,10950,6724,0.4183413177378212
sentinel2_ndvi,90,16073,10950,6724,0.4183413177378212
sentinel2_ndvi,180,16073,11503,6736,0.41908791140421825
sentinel2_ndvi,270,16073,12031,6749,0.41989672120948174
sentinel2_ndvi,400,16073,12545,6760,0.4205810987370124
sentinel2_ndvi,600,16073,13550,6785,0.42213650220867294
sentinel2_ndvi,800,16073,14994,6815,0.4240029863746656
grace,60,16073,10866,10866,0.6760405649225409
grace,90,16073,11413,11413,0.7100727928824737
grace,180,16073,13051,13051,0.8119828283456728
grace,270,16073,13550,13550,0.8430286816400174
grace,400,16073,14062,14062,0.8748833447396255
grace,600,16073,15392,15392,0.9576308094319667
grace,800,16073,16073,16073,1.0
