episode,q_predicted,realized_return,first_action,rank_by_q,rank_by_return
413,2.149506,-0.7348867609202965,1,1.0,73.0
482,2.9267097,9.433119225188303,1,2.0,118.0
61,2.9407942,10.369968199110074,1,3.0,154.0
330,2.947617,2.9120683599522654,1,4.0,91.0
49,2.9553738,10.834350676443853,1,5.0,176.0
47,2.9581711,11.789883888621453,1,6.0,238.0
338,3.013908,11.956962402090921,1,7.0,245.0
27,3.0253024,9.648544829533366,1,8.0,127.0
216,3.037559,13.80084955003824,1,9.0,394.0
269,3.0478444,13.601529275399768,1,10.0,374.0
444,3.0502422,9.90893461507491,1,11.0,132.0
399,3.0518637,13.833641565875679,1,12.0,401.0
352,3.0548677,13.296734774314135,1,13.0,337.0
178,3.0603764,15.117810531265459,1,14.0,474.0
423,3.0612493,11.130713003408136,1,15.0,194.0
424,3.0635421,10.529271833381822,1,16.0,163.0
469,3.0644262,12.620910464563357,1,17.0,287.0
174,3.065024,11.991492587412463,1,18.0,246.0
256,3.0657983,14.160880272412964,1,19.0,420.0
124,3.0704682,14.001933308064796,1,20.0,410.0
427,3.0708032,13.787396076286766,1,21.0,393.0
440,3.0732508,13.49776502217827,1,22.0,356.0
436,3.0775037,12.363726044337932,1,23.0,270.0
69,3.084852,13.48826830830209,1,24.0,353.0
475,3.085155,13.847979628953286,1,25.0,402.0
187,3.0853782,14.214302482822935,1,26.0,425.0
48,3.0896974,13.527072552954928,1,27.0,359.0
96,3.091187,12.166543667442582,1,28.0,258.0
350,3.092046,12.503395288185173,1,29.0,281.0
434,3.0950694,14.950284715754107,1,30.0,463.0
271,3.0975256,10.204917454051712,1,31.0,148.0
82,3.1012278,12.07526611849406,1,32.0,254.0
326,3.1037974,11.263662838883262,1,33.0,198.0
268,3.105607,11.423908669528844,1,34.0,208.0
323,3.1096675,13.80887465955933,1,35.0,395.0
340,3.112335,13.302495105861736,1,36.0,338.0
89,3.1126945,13.822775664507482,1,37.0,400.0
137,3.1161125,11.531547894507304,1,38.0,213.0
384,3.1175656,13.656221125671866,1,39.0,378.0
388,3.1175866,11.426536934663723,1,40.0,209.0
358,3.1205184,14.236121926145069,1,41.0,426.0
250,3.1207,11.74071201956172,1,42.0,230.0
400,3.122303,12.540837402757179,1,43.0,282.0
240,3.1227436,13.037574559317378,1,44.0,310.0
108,3.122746,12.209450459244673,1,45.0,260.0
467,3.1227744,13.011709864600354,1,46.0,307.0
218,3.1230829,13.385886403537029,1,47.0,346.0
333,3.1256523,15.599834512159887,1,48.0,492.0
19,3.126533,13.108994244653633,1,49.0,316.0
122,3.1267824,12.009060107586963,1,50.0,249.0
480,3.1267858,9.511266257969254,1,51.0,121.0
279,3.1270773,10.937300332305131,1,52.0,185.0
497,3.1283302,12.927246502377029,1,53.0,305.0
354,3.12842,11.509843854003883,1,54.0,211.0
16,3.1293244,12.497553572474791,1,55.0,280.0
1,3.1305861,10.185668422203372,1,56.0,146.0
164,3.1306949,14.496325694404664,1,57.0,446.0
106,3.134142,14.65072773537826,1,58.0,450.0
449,3.1352181,13.039674313569952,1,59.0,311.0
230,3.13549,10.242111701676569,1,60.0,149.0
284,3.137052,10.794789409021849,1,61.0,175.0
156,3.1376567,11.364326370691522,1,62.0,206.0
65,3.137848,10.6465642561234,1,63.0,166.0
222,3.1381874,10.879609456135375,1,64.0,179.0
71,3.1390054,12.121404638506524,1,65.0,255.0
456,3.1390584,10.902551066190016,1,66.0,180.0
62,3.1392612,12.341671480541835,1,67.0,268.0
490,3.140037,12.674863915440131,1,68.0,293.0
428,3.140987,9.551756350560044,1,69.0,123.0
25,3.1421933,10.776023548113857,1,70.0,173.0
387,3.1422818,13.123318680396,1,71.0,317.0
212,3.1425312,14.983916865870077,1,72.0,466.0
191,3.1433702,12.722661065401892,1,73.0,294.0
22,3.1444988,10.973841720876644,1,74.0,186.0
229,3.147533,12.240173286524776,1,75.0,263.0
499,3.147871,11.757139111927794,1,76.0,233.0
487,3.147956,13.14071344814228,1,77.0,318.0
161,3.1481829,14.286345904007554,1,78.0,432.0
288,3.14827,14.26087252101782,1,79.0,430.0
129,3.1488276,10.243629255347836,1,80.0,150.0
159,3.1494966,13.360669729564727,1,81.0,344.0
50,3.149861,11.35413917053186,1,82.0,204.0
103,3.1503906,13.314195745155764,1,83.0,340.0
93,3.1505172,10.92262657608934,1,84.0,182.0
92,3.1512954,11.00290119779693,1,85.0,187.0
220,3.1518283,10.768505069379664,1,86.0,172.0
425,3.1559677,14.533094484669961,1,87.0,447.0
68,3.1564674,12.320017580465027,1,88.0,266.0
420,3.1578693,12.397566251134847,1,89.0,271.0
265,3.1579843,14.973489769643129,1,90.0,465.0
316,3.158855,10.364445222273288,1,91.0,153.0
228,3.1590219,11.690005730206355,1,92.0,223.0
209,3.1590896,13.861638725724871,1,93.0,404.0
305,3.1594977,13.60603874585398,1,94.0,375.0
445,3.1596556,11.879400109203308,1,95.0,241.0
351,3.1605887,14.046791258248449,1,96.0,416.0
292,3.161438,11.542662540350408,1,97.0,214.0
200,3.161696,11.769232901370872,1,98.0,236.0
149,3.1634316,11.649481703428846,1,99.0,219.0
182,3.1647792,13.812344250260091,1,100.0,397.0
311,3.1648037,13.140775911882553,1,101.0,319.0
166,3.165557,13.599687312269397,1,102.0,373.0
114,3.1658638,9.808341930253672,1,103.0,129.0
53,3.1668868,9.991194803502717,1,104.0,133.0
243,3.1672325,14.769774591832878,1,105.0,459.0
245,3.1681032,13.254193449467682,1,106.0,332.0
70,3.1681159,15.336133970078484,1,107.0,485.0
349,3.1687312,14.027422588286315,1,108.0,414.0
312,3.170876,9.458079602819826,1,109.0,119.0
422,3.1711323,13.352637727193416,1,110.0,342.0
396,3.1713326,10.104078724850863,1,111.0,140.0
113,3.1713743,13.682313033373317,1,112.0,382.0
297,3.1715024,13.6858672927136,1,113.0,384.0
147,3.1719017,13.0120418144072,1,114.0,308.0
441,3.1724596,12.767598278335067,1,115.0,300.0
258,3.172535,13.538676230230589,1,116.0,364.0
81,3.1728563,15.117479500115287,1,117.0,473.0
116,3.173284,13.236834901503098,1,118.0,331.0
233,3.1733885,13.6918381272942,1,119.0,385.0
177,3.1738582,10.488149807086813,1,120.0,162.0
98,3.1741133,12.78638017372976,1,121.0,302.0
41,3.1742394,13.201512176962122,1,122.0,328.0
102,3.17432,11.623632044067628,1,123.0,218.0
87,3.1747892,13.864208802398654,1,124.0,406.0
73,3.1749578,11.141947088114138,1,125.0,195.0
157,3.1764507,11.92711280297404,1,126.0,244.0
11,3.1775699,14.18071956151064,1,127.0,423.0
52,3.1782517,10.443166896625476,1,128.0,159.0
121,3.1783175,13.592544014808583,1,129.0,369.0
371,3.1792264,15.242957684651754,1,130.0,483.0
203,3.1802833,14.292022516756457,1,131.0,433.0
307,3.1802955,13.163369674565743,1,132.0,324.0
463,3.1803205,10.342627675493597,1,133.0,152.0
140,3.1803603,10.630205125110491,1,134.0,165.0
462,3.180781,11.917548104872886,1,135.0,243.0
189,3.1808093,11.804985750429745,1,136.0,239.0
299,3.1808476,12.124604277762593,1,137.0,256.0
152,3.1810827,12.353930395908588,1,138.0,269.0
270,3.181291,13.30335901141116,1,139.0,339.0
112,3.181348,11.747932234625713,1,140.0,231.0
185,3.1815367,11.33948625723473,1,141.0,202.0
133,3.1824157,12.661189252754601,1,142.0,291.0
238,3.1826,15.44602073296388,1,143.0,488.0
30,3.182955,12.735254604462156,1,144.0,297.0
135,3.1830502,11.34287466385359,1,145.0,203.0
367,3.1840262,13.855760252626304,1,146.0,403.0
20,3.1861143,14.395357777614818,1,147.0,438.0
402,3.1887457,12.755090970855107,1,148.0,299.0
359,3.1893086,15.52488251868515,1,149.0,489.0
390,3.189498,13.364691458536576,1,150.0,345.0
276,3.1914363,12.853468643185735,1,151.0,303.0
101,3.1926966,12.72523854322245,1,152.0,295.0
109,3.193425,10.904259314258884,1,153.0,181.0
10,3.1937246,12.774712473930927,1,154.0,301.0
37,3.1940851,13.503139207226525,1,155.0,357.0
190,3.1954136,13.534175530250138,1,156.0,363.0
184,3.1961253,11.669703465487688,1,157.0,221.0
14,3.1996775,14.739659857007625,1,158.0,456.0
282,3.1996794,9.518577469957261,1,159.0,122.0
197,3.2001321,11.718890687530884,1,160.0,225.0
477,3.2010846,13.719953797893844,1,161.0,388.0
