gw_level,recent_rainfall,crop_water_demand,month_sin,month_cos,extraction_rate,seed,first_action,q_predicted,realized_return,min_gw_level_in_episode,q_quintile
3.8471365,7.5163403,0.24019238,-0.5,0.8660254,0.31837046,42,1,3.2954006,14.461283943755905,3.8471364933678056,2
4.850601,0.41413537,0.2,-2.4492937e-16,1.0,0.23991652,42,1,3.03167,10.063548682564928,4.850601421121191,0
10.117999,4.8611574,0.65,-0.8660254,-0.5,0.1434944,42,3,3.402576,5.627493856977514,10.11799876362406,3
5.5609703,6.559301,0.35,-0.8660254,0.5,0.4928355,42,1,3.2993708,13.656979680207684,5.560970294229567,2
4.2107124,2.5386384,0.24019238,-0.5,0.8660254,0.47134548,42,1,3.180916,16.55824847916597,4.210712354467883,2
3.9474247,3.653279,0.24019238,-0.5,0.8660254,0.3627723,42,1,3.326407,15.735086296827184,3.947424652346347,3
9.751778,0.26398656,0.75980765,0.5,-0.8660254,0.35757706,42,3,4.575662,-7.3209720972348435,9.751777383494204,4
7.970688,1.9649166,0.24019238,-0.5,0.8660254,0.12257133,42,1,3.0397334,13.81026544349636,7.970687862962063,0
6.8573837,0.13185938,0.24019238,0.5,0.8660254,0.37127894,42,1,3.167091,11.696557052762907,6.857383609003823,1
5.611104,0.010574277,0.24019238,0.5,0.8660254,0.47700042,42,1,3.158084,15.106518602866153,5.611104131505376,1
7.6629405,2.852108,0.24019238,-0.5,0.8660254,0.37692884,42,1,3.1910958,12.876194271040456,7.662940619335084,2
7.9605227,1.7362214,0.24019238,-0.5,0.8660254,0.43517274,42,1,3.0900123,14.18071956151064,7.960522864616952,1
5.207101,3.5326111,0.24019238,-0.5,0.8660254,0.31452027,42,1,3.2551956,14.799664852883511,5.207100641144571,2
3.5099921,5.648323,0.24019238,-0.5,0.8660254,0.20457417,42,1,3.1961489,11.025782945199268,3.5099921593949404,2
4.6194196,0.39355186,0.24019238,0.5,0.8660254,0.34157586,42,1,3.1987402,14.739659857007625,4.619419467990751,2
11.870656,0.46643582,0.75980765,0.5,-0.8660254,0.13011083,42,3,4.472888,-15.377184899705583,11.870656115104138,4
4.855304,0.18773498,0.24019238,0.5,0.8660254,0.24811134,42,1,3.0747614,12.497553572474791,4.855303638784064,0
4.4348183,2.3501036,0.24019238,-0.5,0.8660254,0.36104444,42,1,3.318523,10.017157237714393,4.434818154004557,3
9.590192,0.00760291,0.5,1.0,6.123234e-17,0.36863515,42,2,3.8662295,13.84538220608758,9.590192003129786,3
7.9142146,0.44464025,0.24019238,0.5,0.8660254,0.18459004,42,1,3.0192046,13.260680215045472,7.914214532399597,0
5.825987,0.21886241,0.24019238,0.5,0.8660254,0.49586847,42,1,3.1218405,14.395357777614818,5.825986687786229,1
10.2989435,0.45457137,0.75980765,0.5,-0.8660254,0.17647524,42,3,4.493073,-6.429555294036908,10.298943181675623,4
6.9085755,0.12410454,0.24019238,0.5,0.8660254,0.1961602,42,1,3.0372128,10.973841720876644,6.908575584652093,0
5.4290867,7.7309375,0.35,-0.8660254,0.5,0.4657446,42,1,3.320809,13.527857752498605,5.42908661392149,3
6.87902,0.33501682,0.5,1.0,6.123234e-17,0.3316932,42,2,3.815425,14.052417289659758,6.879020126557913,3
4.5859237,0.3110524,0.24019238,0.5,0.8660254,0.29319087,42,1,3.1379237,10.776023548113857,4.58592360258876,1
9.157073,0.00414551,0.75980765,0.5,-0.8660254,0.14814335,42,3,4.541708,-4.205260679086178,9.157073061305487,4
8.870268,0.14828601,0.24019238,0.5,0.8660254,0.26225913,42,1,2.9187346,9.648544829533366,8.870267665239025,0
9.511399,0.03899328,0.75980765,0.5,-0.8660254,0.14520273,42,3,4.537363,-19.979978774286053,9.511399119898432,4
4.6532354,4.1960783,0.24019238,-0.5,0.8660254,0.43701038,42,1,3.2087584,11.104779718863387,4.6532355398099385,2
4.990728,0.2637782,0.24019238,0.5,0.8660254,0.31222793,42,1,3.1693697,12.735254604462156,4.990727670267921,2
5.5077224,6.4551086,0.35,-0.8660254,0.5,0.30913642,42,1,3.3881898,13.72415020175438,5.507722591483128,3
5.5147943,5.6889553,0.35,-0.8660254,0.5,0.18059552,42,1,3.4089904,15.116579979277615,5.514794148639203,3
1.9927073,7.717093,0.24019238,-0.5,0.8660254,0.22373164,42,1,3.2018092,10.65384611783159,1.9927072455010888,2
10.333478,0.25810012,0.75980765,0.5,-0.8660254,0.43242136,42,3,4.5347567,3.775794535621211,10.333477545036413,4
9.872105,0.22412615,0.24019238,0.5,0.8660254,0.4080306,42,1,3.102472,13.669088625298855,9.872104982299517,1
4.582292,3.1111908,0.24019238,-0.5,0.8660254,0.20467626,42,1,3.174663,13.527563316888491,4.582292282312187,2
6.378763,0.16711664,0.24019238,0.5,0.8660254,0.4781477,42,1,3.1131606,13.503139207226525,6.378763160642478,1
6.257125,4.6940737,0.35,-0.8660254,0.5,0.24536613,42,1,3.3611665,13.815548592007259,6.257125129225551,3
9.530687,0.32769564,0.24019238,0.5,0.8660254,0.3853971,42,1,3.1146853,13.0166257217239,9.530687763656587,1
8.850535,0.1111027,0.65,0.8660254,-0.5,0.42546394,42,3,4.011981,2.7736299091661145,8.85053539382052,3
