gw_level,recent_rainfall,crop_water_demand,month_sin,month_cos,extraction_rate,seed,first_action,q_predicted,realized_return,min_gw_level_in_episode,q_quintile
3.8471365,7.5163403,0.24019238,-0.5,0.8660254,0.31837046,42,1,2.2619364,14.461283943755905,3.8471364933678056,1
4.850601,0.41413537,0.2,-2.4492937e-16,1.0,0.23991652,42,1,2.0957704,10.185668422203372,4.850601421121191,0
10.117999,4.8611574,0.65,-0.8660254,-0.5,0.1434944,42,3,3.3378491,5.627493856977514,10.11799876362406,3
5.5609703,6.559301,0.35,-0.8660254,0.5,0.4928355,42,1,2.5546002,13.77793753342619,5.560970294229567,3
4.2107124,2.5386384,0.24019238,-0.5,0.8660254,0.47134548,42,1,2.3265092,16.367478863314023,4.210712354467883,2
3.9474247,3.653279,0.24019238,-0.5,0.8660254,0.3627723,42,1,2.2768626,15.735086296827184,3.947424652346347,2
9.751778,0.26398656,0.75980765,0.5,-0.8660254,0.35757706,42,3,3.7925603,-7.3209720972348435,9.751777383494204,4
7.970688,1.9649166,0.24019238,-0.5,0.8660254,0.12257133,42,1,2.2445257,13.81026544349636,7.970687862962063,1
6.8573837,0.13185938,0.24019238,0.5,0.8660254,0.37127894,42,1,2.2869005,11.696557052762907,6.857383609003823,2
5.611104,0.010574277,0.24019238,0.5,0.8660254,0.47700042,42,1,2.3610182,15.106518602866153,5.611104131505376,3
7.6629405,2.852108,0.24019238,-0.5,0.8660254,0.37692884,42,1,2.3118503,12.876194271040456,7.662940619335084,2
7.9605227,1.7362214,0.24019238,-0.5,0.8660254,0.43517274,42,1,2.3308012,14.18071956151064,7.960522864616952,2
5.207101,3.5326111,0.24019238,-0.5,0.8660254,0.31452027,42,1,2.2601655,14.647214311193405,5.207100641144571,1
3.5099921,5.648323,0.24019238,-0.5,0.8660254,0.20457417,42,1,2.219622,11.025782945199268,3.5099921593949404,0
