experiment,model,cv_type,season,region,n,rmse,mae,r2,bias,corr
A,seasonal_median,random,monsoon,all,2552,0.18120281673435765,0.1468576604794279,0.06642873850857556,-0.046181243364615994,0.49516361560329103
A,seasonal_median,random,post-monsoon,all,19990,0.0848453415810361,0.06539091407365433,0.8147868967182118,0.001979079387536268,0.9043605617301465
A,seasonal_median,random,pre-monsoon,all,35275,0.12648812362232625,0.10338631607135824,0.282725039268641,-0.008874852137144208,0.5959466688976457
A,seasonal_median,random,winter,all,4096,0.05956639706646762,0.046207113748148676,0.8821128047627244,6.262225669360303e-05,0.9426676738764912
A,seasonal_median,spatial_block,monsoon,all,2552,0.19638728152546714,0.1582133574604232,-0.09659005379330154,-0.05719575000822885,-0.08072093292674806
A,seasonal_median,spatial_block,post-monsoon,all,19990,0.22214278587469985,0.1762593424783742,-0.2696386412637741,-0.10157365528650826,-0.09774200842808847
A,seasonal_median,spatial_block,pre-monsoon,all,35275,0.17055835496583502,0.1304388212763469,-0.30416387840748693,0.0817135138076013,-0.08134644271001722
A,seasonal_median,spatial_block,winter,all,4096,0.1740521131517828,0.11223774175075683,-0.006520376952895424,0.008336459275170887,-0.08419936465790392
A,seasonal_median,temporal_holdout,post-monsoon,all,11859,0.09994977104277127,0.08069210503279788,0.7289116392083198,-0.061116140400156,0.9115909034194769
A,seasonal_median,temporal_holdout,pre-monsoon,all,8192,0.1753395353559446,0.15243983475995682,-0.24684885269797774,-0.14189967601287035,0.7567956177604904
A,random_forest,random,monsoon,all,2552,0.08137454713504573,0.06082856319632635,0.8117240902543825,0.001104835771780591,0.9013118706795964
A,random_forest,random,post-monsoon,all,19990,0.06969303486646797,0.052722411041015486,0.8750332552083242,-0.0002854243693618293,0.9356444248359341
A,random_forest,random,pre-monsoon,all,35275,0.053276153124254044,0.03892174197686851,0.8727517298588855,0.00015706912789442367,0.9343307976900384
A,random_forest,random,winter,all,4096,0.06722946297756825,0.0518381293405728,0.8498299742804443,-0.0003752149604237065,0.9221215794794523
A,random_forest,spatial_block,monsoon,all,2552,0.11140734732462848,0.08576139055895472,0.647105205197576,-0.00840882615064002,0.805705788826305
A,random_forest,spatial_block,post-monsoon,all,19990,0.0900451377662563,0.06897368000430776,0.7913894647725203,-0.0020449892748900253,0.889687968361664
A,random_forest,spatial_block,pre-monsoon,all,35275,0.07329098279150982,0.05422893032096058,0.7591829339793168,-0.0004406586778714446,0.8717238482085696
A,random_forest,spatial_block,winter,all,4096,0.0882061140761945,0.06897925766889026,0.741499522240481,-0.0005645488068485244,0.8611157926785529
A,random_forest,temporal_holdout,post-monsoon,all,11859,0.10463265564187663,0.08212412178056884,0.7029142913337276,-0.007051030117471128,0.8392096369483382
A,random_forest,temporal_holdout,pre-monsoon,all,8192,0.09234563549619454,0.07288062035413115,0.6541507358707472,-0.003602138789927852,0.812246763495539
A,hist_gradient_boosting,random,monsoon,all,2552,0.09001408186888496,0.06977592855840399,0.7696233293406027,0.0004027435956445287,0.877879465690607
A,hist_gradient_boosting,random,post-monsoon,all,19990,0.0761472703839648,0.05928169559526005,0.8508152662320182,-0.0005095691174652194,0.9227299489471102
A,hist_gradient_boosting,random,pre-monsoon,all,35275,0.06134175433322465,0.046622773432422306,0.8313064200166211,0.00021915910937115788,0.911992547480135
A,hist_gradient_boosting,random,winter,all,4096,0.07556927656956149,0.05924516741104298,0.8102619205799143,-0.0010092920127716815,0.900875825524268
A,hist_gradient_boosting,spatial_block,monsoon,all,2552,0.11094793176699287,0.08672364911623594,0.6500097008337955,-0.00687045347319291,0.8071630593434388
A,hist_gradient_boosting,spatial_block,post-monsoon,all,19990,0.08942708626646016,0.06951878259564194,0.7942433572906096,-0.0005100545509636846,0.8912574952063704
A,hist_gradient_boosting,spatial_block,pre-monsoon,all,35275,0.07353412303089683,0.055374947769518595,0.7575824794767518,-0.0004179748574707344,0.870438600857413
A,hist_gradient_boosting,spatial_block,winter,all,4096,0.08889699822071206,0.06947700901107967,0.7374341961238758,0.0006423956148795939,0.8589246373423838
A,hist_gradient_boosting,temporal_holdout,post-monsoon,all,11859,0.09876827273233248,0.07681531858664108,0.7352827868957399,0.003672355997426575,0.8578322403170987
A,hist_gradient_boosting,temporal_holdout,pre-monsoon,all,8192,0.08600076656360901,0.0674095388519654,0.7000431722842821,-0.0034151653009607107,0.8394301532621813
B,seasonal_median,random,monsoon,all,2552,0.18120281673435765,0.1468576604794279,0.06642873850857556,-0.046181243364615994,0.49516361560329103
B,seasonal_median,random,post-monsoon,all,19990,0.0848453415810361,0.06539091407365433,0.8147868967182118,0.001979079387536268,0.9043605617301465
B,seasonal_median,random,pre-monsoon,all,35275,0.12648812362232625,0.10338631607135824,0.282725039268641,-0.008874852137144208,0.5959466688976457
B,seasonal_median,random,winter,all,4096,0.05956639706646762,0.046207113748148676,0.8821128047627244,6.262225669360303e-05,0.9426676738764912
B,seasonal_median,spatial_block,monsoon,all,2552,0.19638728152546714,0.1582133574604232,-0.09659005379330154,-0.05719575000822885,-0.08072093292674806
B,seasonal_median,spatial_block,post-monsoon,all,19990,0.22214278587469985,0.1762593424783742,-0.2696386412637741,-0.10157365528650826,-0.09774200842808847
B,seasonal_median,spatial_block,pre-monsoon,all,35275,0.17055835496583502,0.1304388212763469,-0.30416387840748693,0.0817135138076013,-0.08134644271001722
B,seasonal_median,spatial_block,winter,all,4096,0.1740521131517828,0.11223774175075683,-0.006520376952895424,0.008336459275170887,-0.08419936465790392
B,seasonal_median,temporal_holdout,post-monsoon,all,11859,0.09994977104277127,0.08069210503279788,0.7289116392083198,-0.061116140400156,0.9115909034194769
B,seasonal_median,temporal_holdout,pre-monsoon,all,8192,0.1753395353559446,0.15243983475995682,-0.24684885269797774,-0.14189967601287035,0.7567956177604904
B,random_forest,random,monsoon,all,2552,0.08123440080468947,0.06026572944676107,0.812372043628885,0.0002130429024467496,0.9018683276643288
B,random_forest,random,post-monsoon,all,19990,0.0638035747377824,0.04810484355124053,0.8952616502170136,2.9219460918267823e-05,0.9463894283698835
B,random_forest,random,pre-monsoon,all,35275,0.04472666273444276,0.03081597399849812,0.9103151348634697,0.0003813190133421774,0.954165704865572
B,random_forest,random,winter,all,4096,0.04753731282708757,0.03405276983287414,0.9249184503501306,-0.0008282179693638611,0.9621151905352647
B,random_forest,spatial_block,monsoon,all,2552,0.13779004564042946,0.10983966457877878,0.46017465192652596,0.03146395331665383,0.7043302565994016
B,random_forest,spatial_block,post-monsoon,all,19990,0.10091448673291929,0.07866512622841768,0.737987063245779,-0.0035049980065492755,0.8599981809382038
B,random_forest,spatial_block,pre-monsoon,all,35275,0.10284580856999523,0.08287259747638571,0.5258023864662805,0.017263331904067977,0.738118828360868
