experiment,model,cv_type,fold,n,rmse,mae,r2,bias,corr
A,seasonal_median,random,0,12383,0.1146331446545236,0.08942720323521358,0.6291685732456007,-0.007208771756436245,0.8038095692808823
A,seasonal_median,random,1,12383,0.1146289789803483,0.08927908141357635,0.6316579393865867,-0.005737452313694902,0.8048665086428697
A,seasonal_median,random,2,12383,0.11379063521214167,0.08893656746794663,0.6435277917169415,-0.005074857380606396,0.8118117546783943
A,seasonal_median,random,3,12382,0.11460185021093347,0.089386852343644,0.6329853704563739,-0.008092428250104991,0.8066317249355363
A,seasonal_median,random,4,12382,0.11303785159999653,0.08860865092270068,0.6437186604108835,-0.0054709373515354565,0.8134256992581133
A,seasonal_median,spatial_block,0,12395,0.1722738511304571,0.13920286852471966,-0.016209323579752244,-0.02175756154869705,-1.270482067378387e-16
A,seasonal_median,spatial_block,1,12369,0.2098353016310878,0.15712071282465845,-0.022373135749774287,0.031041111781728498,
A,seasonal_median,spatial_block,2,12409,0.2175394382313829,0.15911842995139816,-0.04210325908676582,0.043726073747030365,
A,seasonal_median,spatial_block,3,12398,0.17785539146026597,0.13832833534187772,-0.0012241825661118977,-0.006219055959945167,
A,seasonal_median,spatial_block,4,12342,0.1667615833250686,0.13205307113825443,-0.0061117704491109315,0.012997397827607836,2.5018981048757556e-16
A,seasonal_median,temporal_holdout,0,20051,0.13590132988961848,0.11000522666887018,0.47756385984392247,-0.09412091441339004,0.8614403315848939
A,random_forest,random,0,12383,0.06086597308062459,0.04500412991956745,0.895454520540594,0.0002218470103314246,0.9464447433855763
A,random_forest,random,1,12383,0.061237853156738895,0.04525996652124963,0.8948758785694948,0.00023100887986270678,0.9461114130611943
A,random_forest,random,2,12383,0.06150141111468805,0.04534363043032659,0.895868339445984,-0.0002336404385685054,0.9466243291382909
A,random_forest,random,3,12382,0.06139113187674593,0.04489827637315284,0.8946798670389073,0.00016517253549855072,0.9460108239936194
A,random_forest,random,4,12382,0.0614873526711159,0.04516943757892072,0.8945814891444783,-0.00029414234513017206,0.9458642126751344
A,random_forest,spatial_block,0,12395,0.08751009232729626,0.06592244202539534,0.7377830662871081,-0.004590485087716256,0.859856504716188
A,random_forest,spatial_block,1,12369,0.0767353364250459,0.0584546237039618,0.8632765132682569,0.0021244882581480215,0.9292729754381039
A,random_forest,spatial_block,2,12409,0.07899496434398362,0.057778344855004105,0.8625851830912558,0.0046913480682987604,0.9290220766810127
A,random_forest,spatial_block,3,12398,0.08726445440413398,0.06428805789316172,0.7589694918171412,-0.006008557609230173,0.8719216335793051
A,random_forest,spatial_block,4,12342,0.07821639457213926,0.05987382562890777,0.778665152303222,-0.0026976875919077314,0.8826846653340352
