passed,n_validation_rows,n_leaked_donors,n_donor_checks,donor_value_integrity_ok,experiment,model,cv_type,fold,temporal_cutoff
True,12266,0,56227,True,A,seasonal_median,random,0,
True,12266,0,56150,True,A,seasonal_median,random,1,
True,12266,0,56244,True,A,seasonal_median,random,2,
True,12266,0,56282,True,A,seasonal_median,random,3,
True,12265,0,56154,True,A,seasonal_median,random,4,
True,12260,0,45793,True,A,seasonal_median,spatial_block,0,
True,12357,0,45720,True,A,seasonal_median,spatial_block,1,
True,12217,0,45850,True,A,seasonal_median,spatial_block,2,
True,12256,0,45765,True,A,seasonal_median,spatial_block,3,
True,12239,0,45804,True,A,seasonal_median,spatial_block,4,
True,16384,0,57233,True,A,seasonal_median,temporal_holdout,0,2019-10-01T00:00:00.000000000
True,12266,0,56227,True,A,random_forest,random,0,
True,12266,0,56150,True,A,random_forest,random,1,
True,12266,0,56244,True,A,random_forest,random,2,
True,12266,0,56282,True,A,random_forest,random,3,
True,12265,0,56154,True,A,random_forest,random,4,
True,12260,0,45793,True,A,random_forest,spatial_block,0,
True,12357,0,45720,True,A,random_forest,spatial_block,1,
True,12217,0,45850,True,A,random_forest,spatial_block,2,
True,12256,0,45765,True,A,random_forest,spatial_block,3,
True,12239,0,45804,True,A,random_forest,spatial_block,4,
True,16384,0,57233,True,A,random_forest,temporal_holdout,0,2019-10-01T00:00:00.000000000
True,12266,0,56227,True,A,hist_gradient_boosting,random,0,
True,12266,0,56150,True,A,hist_gradient_boosting,random,1,
True,12266,0,56244,True,A,hist_gradient_boosting,random,2,
True,12266,0,56282,True,A,hist_gradient_boosting,random,3,
True,12265,0,56154,True,A,hist_gradient_boosting,random,4,
True,12260,0,45793,True,A,hist_gradient_boosting,spatial_block,0,
True,12357,0,45720,True,A,hist_gradient_boosting,spatial_block,1,
True,12217,0,45850,True,A,hist_gradient_boosting,spatial_block,2,
True,12256,0,45765,True,A,hist_gradient_boosting,spatial_block,3,
True,12239,0,45804,True,A,hist_gradient_boosting,spatial_block,4,
True,16384,0,57233,True,A,hist_gradient_boosting,temporal_holdout,0,2019-10-01T00:00:00.000000000
True,12266,0,56227,True,B,seasonal_median,random,0,
True,12266,0,56150,True,B,seasonal_median,random,1,
True,12266,0,56244,True,B,seasonal_median,random,2,
True,12266,0,56282,True,B,seasonal_median,random,3,
True,12265,0,56154,True,B,seasonal_median,random,4,
True,12260,0,45793,True,B,seasonal_median,spatial_block,0,
True,12357,0,45720,True,B,seasonal_median,spatial_block,1,
True,12217,0,45850,True,B,seasonal_median,spatial_block,2,
True,12256,0,45765,True,B,seasonal_median,spatial_block,3,
True,12239,0,45804,True,B,seasonal_median,spatial_block,4,
True,16384,0,57233,True,B,seasonal_median,temporal_holdout,0,2019-10-01T00:00:00.000000000
True,12266,0,56227,True,B,random_forest,random,0,
True,12266,0,56150,True,B,random_forest,random,1,
True,12266,0,56244,True,B,random_forest,random,2,
True,12266,0,56282,True,B,random_forest,random,3,
True,12265,0,56154,True,B,random_forest,random,4,
True,12260,0,45793,True,B,random_forest,spatial_block,0,
True,12357,0,45720,True,B,random_forest,spatial_block,1,
True,12217,0,45850,True,B,random_forest,spatial_block,2,
True,12256,0,45765,True,B,random_forest,spatial_block,3,
True,12239,0,45804,True,B,random_forest,spatial_block,4,
True,16384,0,57233,True,B,random_forest,temporal_holdout,0,2019-10-01T00:00:00.000000000
True,12266,0,56227,True,B,hist_gradient_boosting,random,0,
True,12266,0,56150,True,B,hist_gradient_boosting,random,1,
True,12266,0,56244,True,B,hist_gradient_boosting,random,2,
True,12266,0,56282,True,B,hist_gradient_boosting,random,3,
True,12265,0,56154,True,B,hist_gradient_boosting,random,4,
True,12260,0,45793,True,B,hist_gradient_boosting,spatial_block,0,
True,12357,0,45720,True,B,hist_gradient_boosting,spatial_block,1,
True,12217,0,45850,True,B,hist_gradient_boosting,spatial_block,2,
True,12256,0,45765,True,B,hist_gradient_boosting,spatial_block,3,
True,12239,0,45804,True,B,hist_gradient_boosting,spatial_block,4,
True,16384,0,57233,True,B,hist_gradient_boosting,temporal_holdout,0,2019-10-01T00:00:00.000000000
