kind,scenario,seed,bc_return,cql_return,bc_ood_frac,cql_ood_frac,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive,bc_delta_from_train,cql_delta_from_train
per_seed,normal,42.0,9.584239398228714,9.778598676934088,0.0,0.0,ood_normal_s42,0.1943592787053767,0.022933204919693365,0.36784360405424876,False,0.9852,,
per_seed,normal,123.0,9.578028816541336,9.817553507896628,0.0,0.0,ood_normal_s123,0.23952469135529267,0.1066903713486356,0.3839360994770401,False,0.9998,,
per_seed,normal,2024.0,9.578898094883673,9.76598178134803,0.0,0.0,ood_normal_s2024,0.1870836864643591,0.06493888161587497,0.3089553481591638,False,0.998,,
pooled,normal,,9.580388769884573,9.787377988726249,,,ood_normal_pooled,0.2069892188416762,0.1209517645746431,0.2889254245419456,False,1.0,,
per_seed,drought,42.0,9.638770447508552,9.809451414708219,0.0,0.0,ood_drought_s42,0.170680967199668,0.004041335449438618,0.33849780995522694,False,0.9764,0.05453104927983787,0.030852737774131
per_seed,drought,123.0,9.676518876937429,9.871483636672664,0.0,0.0,ood_drought_s123,0.19496475973523722,0.07878791597644262,0.3104183635496864,False,0.999,0.09849006039609343,0.05393012877603631
per_seed,drought,2024.0,9.606682842481714,9.782659999089036,0.0,0.0,ood_drought_s2024,0.1759771566073232,0.059643749524132386,0.2954253338280426,False,0.9982,0.027784747598040838,0.016678217741006307
pooled,drought,,9.640657388975898,9.821198350156642,,,ood_drought_pooled,0.1805409611807428,0.09846163236661166,0.25921774679181936,False,1.0,0.06026861909132464,0.033820361430393575
per_seed,extreme,42.0,9.565643046604256,9.73185011362375,0.0,0.0,ood_extreme_s42,0.16620706701949356,-0.005705952608367242,0.333814758234234,True,0.9712,-0.018596351624458052,-0.04674856331033794
per_seed,extreme,123.0,9.643432126134641,9.832488139305726,0.0,0.0,ood_extreme_s123,0.18905601317108303,0.0747198486573632,0.3019759580059345,False,0.9996,0.06540330959330554,0.014934631409097676
per_seed,extreme,2024.0,9.533255047153242,9.70258361166759,0.0,0.0,ood_extreme_s2024,0.16932856451435022,0.0566433304817565,0.28483337169388656,False,0.9976,-0.04564304773043126,-0.06339816968043976
pooled,extreme,,9.580776739964046,9.755640621532354,,,ood_extreme_pooled,0.17486388156830893,0.09333432584455464,0.2515474963778275,False,1.0,0.00038797007947266593,-0.03173736719389453
