policy,seed,k,return,delta_return,action_flip_rate
BC,42,0.0,9.581322084747127,0.0,0.0
BC,42,-2.0,11.208913166076819,1.627591081329692,0.2336
BC,42,-1.0,9.698543746758121,0.11722166201099427,0.0881
BC,42,-0.5,9.355103552861877,-0.22621853188524987,0.0444
BC,42,0.5,9.767635410190826,0.18631332544369883,0.0579
BC,42,1.0,10.417353810451193,0.8360317257040659,0.1161
BC,42,2.0,11.442780347913452,1.861458263166325,0.2414
CQL,42,0.0,9.738879764134065,0.0,0.0
CQL,42,-2.0,9.000236029246503,-0.7386437348875621,0.0871
CQL,42,-1.0,9.436329561982708,-0.3025502021513571,0.0403
CQL,42,-0.5,9.617260656584046,-0.12161910755001948,0.0209
CQL,42,0.5,10.020919900083634,0.28204013594956834,0.0389
CQL,42,1.0,10.116033304587608,0.3771535404535431,0.0671
CQL,42,2.0,11.180298617144745,1.4414188530106795,0.1641
BC,123,0.0,9.399401226161759,0.0,0.0
BC,123,-2.0,10.422556813429098,1.0231555872673397,0.2055
BC,123,-1.0,9.579034582263471,0.1796333561017125,0.1014
BC,123,-0.5,9.335426086698272,-0.0639751394634871,0.0468
BC,123,0.5,9.555113933073411,0.15571270691165218,0.0448
BC,123,1.0,10.042456365594662,0.6430551394329029,0.0862
BC,123,2.0,10.070126773757016,0.6707255475952572,0.1562
CQL,123,0.0,9.697953338332116,0.0,0.0
CQL,123,-2.0,8.00495238718759,-1.6930009511445263,0.12
CQL,123,-1.0,8.847420458246562,-0.850532880085554,0.0699
CQL,123,-0.5,9.40976303893591,-0.2881902993962058,0.031
CQL,123,0.5,10.006761708126605,0.3088083697944892,0.0395
CQL,123,1.0,10.16033088199318,0.46237754366106465,0.074
CQL,123,2.0,11.38447188713573,1.6865185488036136,0.1767
BC,2024,0.0,9.479174272828097,0.0,0.0
BC,2024,-2.0,9.808381380250248,0.3292071074221514,0.2167
BC,2024,-1.0,9.301421352466093,-0.1777529203620034,0.1053
BC,2024,-0.5,9.36103351691334,-0.11814075591475692,0.0345
BC,2024,0.5,9.606062273198487,0.12688800037039094,0.0443
BC,2024,1.0,10.00071868600792,0.5215444131798233,0.0991
BC,2024,2.0,10.756950720379013,1.2777764475509166,0.2408
CQL,2024,0.0,9.693362524481145,0.0,0.0
CQL,2024,-2.0,7.964586085993221,-1.728776438487924,0.1249
CQL,2024,-1.0,8.839094852864745,-0.8542676716163999,0.0688
CQL,2024,-0.5,9.49004155658853,-0.20332096789261556,0.0254
CQL,2024,0.5,10.11432440384012,0.4209618793589751,0.0438
CQL,2024,1.0,10.385678747872175,0.69231622339103,0.0779
CQL,2024,2.0,12.766802539882683,3.0734400154015376,0.2372
