kind,cell,n,min,max,mean,envelope_w1_plus_w3,finite,seed,bc_return,cql_return,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive,bc_delta_from_normal,cql_delta_from_normal
reward_stats,adapt_drought_gw5,30000.0,-5.681143283843994,1.5,0.6349101917012964,1.5,True,,,,,,,,,,,,,
per_seed,adapt_drought_gw5,,,,,,,42.0,13.263046167209907,13.177334083694012,"[1137, 4509, 2246, 1808, 300]","[1034, 4543, 2277, 1885, 261]",adapt_drought_gw5_s42,-0.08571208351589601,-0.217081167748696,0.02426116397598385,True,0.0706,0.14111261049277424,0.09137130854911923
per_seed,adapt_drought_gw5,,,,,,,123.0,13.037127585559183,13.143584854351152,"[1478, 4553, 1991, 1604, 374]","[1297, 4769, 2016, 1676, 242]",adapt_drought_gw5_s123,0.10645726879197233,-0.004350451203388214,0.22487187497034505,True,0.9696,0.007645515985744922,0.07124124825802092
per_seed,adapt_drought_gw5,,,,,,,2024.0,13.272107515007262,13.246438741831781,"[1444, 4424, 2203, 1606, 323]","[1307, 4453, 2275, 1754, 211]",adapt_drought_gw5_s2024,-0.025668773175477274,-0.14958432866964336,0.08796203388498457,True,0.3522,0.1791060485620335,0.062378290335162845
pooled,adapt_drought_gw5,,,,,,,,13.190760422592117,13.189119226625653,,,adapt_drought_gw5_pooled,-0.0016411959664669833,-0.07212838992862299,0.06733133168404122,True,0.4896,0.10928805834685029,0.07499694904744025
reward_stats,adapt_drought_gw15,30000.0,-11.642565727233887,1.4224313497543335,-0.296382438167196,1.5,True,,,,,,,,,,,,,
per_seed,adapt_drought_gw15,,,,,,,42.0,-2.7378491769909576,-2.6620640295265967,"[1121, 4510, 2260, 1810, 299]","[1060, 4631, 2232, 1853, 224]",adapt_drought_gw15_s42,0.0757851474643611,-0.22783669069147147,0.33445407982284014,True,0.7158,-0.6735145659558444,-0.5657494554267792
per_seed,adapt_drought_gw15,,,,,,,123.0,-1.523851902814028,-0.9328415095154886,"[1505, 4531, 2025, 1587, 352]","[1354, 4802, 2052, 1667, 125]",adapt_drought_gw15_s123,0.5910103932985395,0.19725616032836554,0.9746304928570765,False,0.9964,-0.39511049502435136,-0.49602666964788544
per_seed,adapt_drought_gw15,,,,,,,2024.0,-1.9853017943144964,-1.520562173899475,"[1416, 4416, 2224, 1623, 321]","[1363, 4584, 2221, 1645, 187]",adapt_drought_gw15_s2024,0.46473962041502154,0.26509111283123776,0.6638704613258976,False,1.0,-0.49602536053091195,-0.6573445058781273
pooled,adapt_drought_gw15,,,,,,,,-2.0823342913731606,-1.7051559043138536,,,adapt_drought_gw15_pooled,0.3771783870593074,0.19956172793989785,0.5483333766850202,False,1.0,-0.5215501405037024,-0.5730402103175976
