well_id,date,actual,predicted_lstm,predicted_persistence
W_15.6167_77.6042,2017-08-24,4.14,3.5387795,2.73
W_15.6167_77.6042,2018-08-19,3.08,3.7386508,4.14
W_15.6167_77.6042,2018-11-04,3.6799998,2.5050128,3.08
W_15.6167_77.6042,2018-11-11,1.23,3.982841,3.68
W_15.6167_77.6042,2018-11-18,1.26,1.0309587,1.23
W_15.6167_77.6042,2018-11-25,1.33,1.8574599,1.26
W_15.6167_77.6042,2018-12-04,1.07,1.6707327,1.33
W_15.6167_77.6042,2018-12-11,1.0600001,1.4918721,1.07
W_15.6167_77.6042,2018-12-18,1.29,1.233051,1.06
W_15.6167_77.6042,2018-12-25,1.4,1.5283422,1.29
W_15.6167_77.6042,2019-01-04,4.42,1.6994157,1.4
W_15.6167_77.6042,2019-05-04,0.83000016,4.7789717,4.42
W_15.6167_77.6042,2019-08-19,0.67999995,-0.5045758,0.83
W_15.6167_77.6042,2019-10-31,0.33,0.11655408,0.68
W_15.6167_77.6042,2020-01-09,0.52,1.0932357,0.33
W_15.6167_77.6042,2020-11-29,0.17999998,-1.4016969,0.52
W_15.6167_77.6042,2021-01-09,0.23,0.47012976,0.18
W_15.6228_75.0722,2016-11-04,5.35,6.9779468,6.95
W_15.6228_75.0722,2017-01-04,5.6,4.6892614,5.35
W_15.6228_75.0722,2017-08-24,6.1,5.709763,5.6
W_15.6228_75.0722,2018-08-19,3.8999999,6.110694,6.1
W_15.6228_75.0722,2018-11-04,5.15,4.3339434,3.9
W_15.6228_75.0722,2019-01-03,4.8,5.134436,5.15
W_15.6228_75.0722,2019-08-10,4.2000003,6.1158786,4.8
W_15.6228_75.0722,2019-11-27,3.9999998,3.5961947,4.2
W_15.6228_75.0722,2020-11-29,2.55,5.1750703,4.0
W_15.6228_75.0722,2021-01-09,3.35,4.0420938,2.55
W_15.6278_74.1306,2017-08-24,0.98,3.1612659,3.08
W_15.6278_74.1306,2018-05-01,6.02,0.44300854,0.98
W_15.6278_74.1306,2018-08-29,0.69000006,5.2136765,6.02
W_15.6278_74.1306,2018-11-21,2.13,1.8367803,0.69
W_15.6278_74.1306,2019-01-28,3.8000002,1.9145528,2.13
W_15.6278_74.1306,2019-05-24,5.99,4.3921423,3.8
W_15.6278_74.1306,2019-08-29,1.7299995,5.5260863,5.99
W_15.6278_74.1306,2019-11-29,1.89,2.4711008,1.73
W_15.6278_74.1306,2020-01-09,2.57,2.5620954,1.89
W_15.6278_74.1306,2020-11-29,2.87,2.6558492,2.57
W_15.6278_74.1306,2021-01-09,2.8899999,3.259391,2.87
W_15.6694_80.1708,2017-01-04,2.6999998,3.9001336,2.61
W_15.6694_80.1708,2017-08-24,3.0,2.8968744,2.7
W_15.6694_80.1708,2018-11-04,3.19,2.7457318,3.0
W_15.6694_80.1708,2019-01-04,2.38,3.1258783,3.19
W_15.6694_80.1708,2019-05-04,3.3300002,2.78985,2.38
W_15.6694_80.1708,2019-08-19,1.9599999,2.997398,3.33
W_15.6694_80.1708,2019-10-31,0.32000005,1.0752754,1.96
W_15.6694_80.1708,2020-01-09,0.65,0.39739773,0.32
W_15.6694_80.1708,2020-11-29,0.30999997,0.911659,0.65
W_15.6694_80.1708,2021-01-09,0.32,0.600647,0.31
W_15.7081_73.7514,2017-08-24,3.29,-0.4011078,2.25
W_15.7081_73.7514,2018-05-01,4.65,2.3781443,3.29
W_15.7081_73.7514,2018-08-29,3.3500001,4.84583,4.65
W_15.7081_73.7514,2018-11-21,6.89,4.94805,3.35
W_15.7081_73.7514,2019-01-28,3.9199998,7.6860185,6.89
W_15.7081_73.7514,2019-08-29,3.52,2.3182912,3.92
W_15.7081_73.7514,2019-11-29,6.8199997,4.6928487,3.52
W_15.7081_73.7514,2020-01-09,3.9,8.96562,6.82
W_15.7086_73.855,2017-01-04,7.2,8.179469,7.73
W_15.7086_73.855,2017-08-24,6.8199997,5.402446,7.2
W_15.7086_73.855,2018-05-01,7.33,6.053691,6.82
W_15.7086_73.855,2019-01-28,7.5,6.3948483,7.33
W_15.7086_73.855,2019-05-24,7.2,7.460022,7.5
W_15.7086_73.855,2019-08-29,7.46,5.110198,7.2
W_15.7086_73.855,2019-11-29,7.54,7.253309,7.46
W_15.7086_73.855,2020-01-09,7.55,7.996332,7.54
W_15.7086_73.855,2020-11-29,7.94,7.09507,7.55
W_15.7086_73.855,2021-01-09,7.21,8.702735,7.94
W_15.7147_80.2372,2016-11-04,4.48,4.1921363,4.45
W_15.7147_80.2372,2017-01-04,5.5,5.270437,4.48
W_15.7333_76.0583,2017-01-04,11.7,7.966828,6.7
W_15.7333_76.0583,2017-08-24,8.45,13.054135,11.7
W_15.7333_76.0583,2018-08-19,9.17,7.6921806,8.45
W_15.7333_76.0583,2018-11-04,8.4,10.109907,9.17
W_15.7333_76.0583,2019-04-30,10.65,8.500919,8.4
W_15.7333_76.0583,2019-08-17,8.129999,9.560573,10.65
W_15.7333_76.0583,2019-11-29,8.0,5.3985605,8.13
W_15.7333_76.0583,2020-01-09,8.26,9.387304,8.0
W_15.7333_76.0583,2020-11-29,7.7000003,4.660433,8.26
W_15.7333_76.0583,2021-01-09,7.2,9.066868,7.7
W_15.7556_75.1097,2017-08-24,11.35,13.379693,13.5
W_15.7556_75.1097,2018-08-19,8.900001,10.660466,11.35
W_15.7556_75.1097,2018-11-04,9.04,9.438967,8.9
W_15.7556_75.1097,2019-01-02,11.02,9.14997,9.04
W_15.7556_75.1097,2019-05-26,14.05,12.684453,11.02
W_15.7556_75.1097,2019-08-06,1.5500002,11.860369,14.05
W_15.7556_75.1097,2019-11-22,1.3499999,1.0106654,1.55
W_15.7556_75.1097,2020-01-09,6.7999997,3.0727487,1.35
W_15.7556_75.1097,2020-11-29,3.3500001,4.9250264,6.8
W_15.7556_75.1097,2021-01-09,6.55,3.6943276,3.35
W_15.7556_75.2514,2017-01-04,6.52,6.769991,6.4
W_15.7556_75.2514,2017-08-24,7.22,5.480184,6.52
W_15.7556_75.2514,2018-08-19,4.7699995,6.2008557,7.22
W_15.7556_75.2514,2018-11-04,4.78,5.3050756,4.77
W_15.7556_75.2514,2019-01-02,5.9500003,5.1280527,4.78
W_15.7556_75.2514,2019-05-26,8.84,7.708202,5.95
W_15.7556_75.2514,2019-08-06,2.94,4.992591,8.84
W_15.7556_75.2514,2019-11-23,1.4300001,2.8622704,2.94
W_15.7556_75.2514,2020-01-09,4.1,3.7335315,1.43
W_15.7556_75.2514,2020-11-29,1.05,2.6770132,4.1
W_15.7556_75.2514,2021-01-09,1.8299999,2.6532369,1.05
W_15.75_75.6514,2017-08-24,5.2000003,5.178201,5.03
W_15.75_75.6514,2018-08-19,4.3799996,4.4788656,5.2
W_15.75_75.6514,2018-11-04,9.68,5.2239146,4.38
W_15.75_75.6514,2019-04-30,6.6000004,9.916778,9.68
W_15.75_75.6514,2020-01-09,3.1,5.8626,6.6
W_15.75_75.6514,2020-11-29,1.2599999,2.073135,3.1
W_15.75_75.6514,2021-01-09,2.4099998,3.078404,1.26
W_15.7689_74.5583,2017-01-04,4.08,2.662466,1.99
W_15.7689_74.5583,2017-08-24,4.29,3.0920656,4.08
W_15.7689_74.5583,2018-08-19,1.3499999,4.008983,4.29
W_15.7689_74.5583,2018-11-04,2.1,3.1189816,1.35
W_15.7689_74.5583,2019-01-02,3.02,3.0373511,2.1
W_15.7689_74.5583,2019-05-26,8.48,3.4718127,3.02
W_15.7689_74.5583,2019-08-06,1.3099995,1.7028961,8.48
W_15.7689_74.5583,2019-11-22,1.18,1.2335277,1.31
W_15.7689_74.5583,2020-01-09,3.4499998,3.8645453,1.18
W_15.7689_74.5583,2020-11-29,1.9300001,2.3386374,3.45
W_15.7689_74.5583,2021-01-09,3.67,2.7447605,1.93
W_15.7778_76.7653,2017-08-24,0.74,1.0139257,0.95
W_15.7778_76.7653,2018-08-19,0.85,-1.5861316,0.74
W_15.7778_76.7653,2018-11-04,0.70000005,0.38249657,0.85
W_15.7778_76.7653,2019-04-30,1.95,1.9148831,0.7
W_15.7778_76.7653,2019-08-18,0.72,1.9475038,1.95
W_15.7778_76.7653,2019-11-29,3.25,-1.9163396,0.72
W_15.7778_76.7653,2020-01-09,1.65,3.8294444,3.25
W_15.7778_76.7653,2020-11-29,0.00999999,-0.18940139,1.65
W_15.7778_76.7653,2021-01-09,0.28,0.12954302,0.01
W_15.7972_80.4108,2016-11-04,2.1000001,0.48958015,2.65
