stratum,value,n,rmse,mae,r2,kriging_rmse
year,year=2014,11,9.308384136130472,6.658125088670869,-0.32217129263475375,9.139593416210197
year,year=2015,111,6.75359423096208,4.318619892747358,0.2693171950902733,6.745699533047095
year,year=2016,879,4.636200852713754,3.378700060572812,0.2746469039810405,4.788932535046516
year,year=2017,1639,4.632555171368738,3.28858719595272,0.18676662554081414,4.774696194478646
year,year=2018,966,5.248214866391072,3.6342825038909647,0.10946729274374967,5.440398628369527
year,year=2019,1601,6.2781109121094145,3.9223486052556784,0.2188254783041188,6.363291233857284
year,year=2020,989,4.75780114510307,3.0456111244948323,0.1108798218803666,4.749878392135941
year,year=2021,564,4.086260514007263,2.7157913583242945,0.11426892714033521,4.1260493080538385
season,season=monsoon,308,7.02118377956986,4.34089727225671,0.08548198548232278,6.597726524596194
season,season=post-monsoon,5318,4.63862420439012,3.1678172118705397,0.16197392136993594,4.7975407078191585
season,season=pre-monsoon,1134,6.770916031416681,4.464940390556485,0.07959348978589287,6.837692650706177
region,region=NE,1839,4.1279407301931315,2.835845631174467,0.23012876611674693,4.094900402591298
region,region=NW,1588,5.102830701329005,3.488230071045613,0.16208450657945106,5.305931970899448
region,region=SE,2014,6.6465728818222205,4.262517562682427,0.22016318953430336,6.838769981883212
region,region=SW,1319,3.888137754579962,2.9625101256110433,0.1752518172171591,3.8045145123868074
out_of_bbox,out_of_bbox=False,6760,5.183019944300392,3.438859570336339,0.21083515895236749,5.285174072096733
year+season,year=2014 | season=post-monsoon,11,9.308384136130472,6.658125088670869,-0.32217129263475375,9.139593416210197
year+season,year=2015 | season=monsoon,11,11.6558591506374,7.959768421640702,-0.3038357181267073,11.249648752565747
year+season,year=2015 | season=post-monsoon,88,4.964901635441351,3.4133825423468456,0.28554817263711474,4.823067852453501
year+season,year=2015 | season=pre-monsoon,12,10.797968424468246,7.619307644198887,-0.32580506752881755,11.58965122665154
year+season,year=2016 | season=monsoon,3,1.2434097121885241,1.195661638337097,-0.49365694962136764,2.932176185673494
year+season,year=2016 | season=post-monsoon,625,4.3547658597135195,3.103288985650663,0.13703628789375322,4.582273085452209
year+season,year=2016 | season=pre-monsoon,251,5.294668341902348,4.090576702377792,0.12500006851330336,5.284652798843625
year+season,year=2017 | season=monsoon,105,4.235632412837058,3.155144273608939,0.14931014250114882,4.066323030442819
year+season,year=2017 | season=post-monsoon,1192,4.3764164579157265,3.1451158618479225,0.12228798950504483,4.515777706157639
year+season,year=2017 | season=pre-monsoon,342,5.530274953632969,3.8296086494586152,0.08119490860108658,5.753650264803396
year+season,year=2018 | season=monsoon,64,4.850602391796614,3.996631058244826,0.08514197694239167,4.27862160248377
year+season,year=2018 | season=post-monsoon,797,5.10116296880689,3.4907291128492344,0.08149724857646046,5.40380880811082
year+season,year=2018 | season=pre-monsoon,105,6.445398627111533,4.503061029430126,0.05338789698148161,6.284272530890788
year+season,year=2019 | season=monsoon,82,9.838576276971171,6.197832490608596,-0.10160813815619463,9.10972987170707
year+season,year=2019 | season=post-monsoon,1095,4.913333459783028,3.295825990982287,0.2473005365199339,5.154497282344242
year+season,year=2019 | season=pre-monsoon,424,8.231793723176256,5.100302812874605,0.057239951278992285,8.260074056405843
year+season,year=2020 | season=monsoon,43,7.404301047157861,3.501281898034771,0.08451270081437989,7.276276510151187
year+season,year=2020 | season=post-monsoon,946,4.601480868051516,3.0248988166066533,0.11385116821135244,4.602206630666227
year+season,year=2021 | season=post-monsoon,564,4.086260514007263,2.7157913583242945,0.11426892714033521,4.1260493080538385
year+region,year=2014 | region=SE,11,9.308384136130472,6.658125088670869,-0.32217129263475375,9.139593416210197
year+region,year=2015 | region=NE,15,2.141462124853144,1.8621320674840462,-0.0691754991820428,2.56899345472236
year+region,year=2015 | region=NW,47,4.9647008961115455,3.3435188650144507,0.1684735188044234,4.696326478105146
year+region,year=2015 | region=SE,42,9.520659386790697,6.703965630498506,-0.043661163193671415,9.63081303560677
year+region,year=2015 | region=SW,7,2.0200738122318986,1.8175548494399456,-0.9001021741803523,1.681165061322239
year+region,year=2016 | region=NE,251,3.7824051282086533,2.859491450397322,0.3508077038175731,3.9788158251345562
year+region,year=2016 | region=NW,239,5.027017845357284,3.6045063808821727,0.1642710886888179,5.390204536251979
year+region,year=2016 | region=SE,219,5.536485987748243,4.04082418270394,0.3162151596258609,5.557126638293088
year+region,year=2016 | region=SW,170,3.8729103395304114,2.974867518533949,0.20370781851665243,3.8180989297248282
year+region,year=2017 | region=NE,496,3.901462481233745,2.772409998757316,0.17292386208825616,3.888665567755198
year+region,year=2017 | region=NW,373,4.870698660237824,3.4569563103571883,0.12374685937468533,5.010368056789485
year+region,year=2017 | region=SE,455,5.688293828989783,4.0457774330392615,0.19709093986377335,6.033604999057438
year+region,year=2017 | region=SW,315,3.586932330336371,2.8082718063072516,0.23212009351359153,3.5354827620508473
year+region,year=2018 | region=NE,287,4.982522873236318,3.373753151330152,0.12529734171545304,4.8479333590167215
year+region,year=2018 | region=NW,171,5.009946289370171,3.6500494100442387,0.07949936437006766,5.119245226201038
year+region,year=2018 | region=SE,321,6.262065826581058,4.193381236050614,0.10416201890418275,6.773770963220056
year+region,year=2018 | region=SW,187,3.7307758397516055,3.0599781734604603,0.05093583398243895,3.754715932598675
year+region,year=2019 | region=NE,418,4.716618490352079,3.0037423325693715,0.2467127351743693,4.598788339456407
year+region,year=2019 | region=NW,399,5.997545436139587,3.926802944251645,0.18128281952313507,6.284681222689522
year+region,year=2019 | region=SE,495,8.22368712497354,5.127998682935886,0.20398577034561216,8.319318004430087
year+region,year=2019 | region=SW,289,4.547041585789926,3.179799651178803,0.20938003019806362,4.544196712455784
year+region,year=2020 | region=NE,236,3.0710911724297905,2.3066776333448766,0.1274269445102333,3.054238119890579
year+region,year=2020 | region=NW,225,4.411030355393156,2.916039079913825,-0.10109499675996148,4.437988161845813
year+region,year=2020 | region=SE,309,6.377568550371137,3.6968638868693353,0.18519311177510833,6.505165065296723
year+region,year=2020 | region=SW,219,3.832013923024472,3.0561358293733494,-0.009204069385527092,3.4483315684922977
year+region,year=2021 | region=NE,136,3.295481096127015,2.3980371350668057,0.13701277779196064,3.295352370934082
year+region,year=2021 | region=NW,134,4.1253164188355855,2.867019556090311,0.16553662668952773,4.480684857783868
year+region,year=2021 | region=SE,162,5.058321823164149,2.9467255856353534,0.07968651926704928,4.9606718100112905
year+region,year=2021 | region=SW,132,3.387747009786857,2.6062356843696035,0.048658903357024386,3.3120870198563725
season+region,season=monsoon | region=NE,140,3.9403050974317044,3.1613865690378202,0.11911978086557296,3.69510834327437
season+region,season=monsoon | region=NW,83,6.171394152809715,4.0039209951527805,0.03129297123615615,5.78258404193356
season+region,season=monsoon | region=SE,80,11.080821339037357,6.913402730969757,-0.10968096656805937,10.425811592710081
season+region,season=monsoon | region=SW,5,2.2771549105841453,1.8009158229020374,0.320924805003561,2.214591459246079
season+region,season=post-monsoon | region=NE,1284,3.621198783788166,2.497183166133402,0.18107473479577785,3.5828595776271532
season+region,season=post-monsoon | region=NW,1240,4.692016849903327,3.2550568844842167,0.08669939184743014,5.025020455793692
