stratum,value,n,rmse,mae,r2,kriging_rmse
year,year=2014,2031,5.231604915262814,3.280248337096856,0.13341894488200567,5.216352193488723
year,year=2015,2136,5.467378386731231,3.6439207224531143,0.1159500173172967,5.445556327638695
year,year=2016,1812,5.932784446626231,3.561390276173624,0.1831204778870672,6.038798511053301
year,year=2017,2394,4.870231838130318,3.460386429243175,0.1451400698695796,4.919841598466078
year,year=2018,1922,5.363818731036285,3.7047371721772087,0.14321923461946018,5.452621757017123
year,year=2019,2168,6.02219631478506,3.937948839983173,0.19970997930477652,6.0088484357258105
year,year=2020,1035,4.70366649845466,3.0304230420822167,0.11841224156858599,4.707930460313468
year,year=2021,564,4.072357471090246,2.7072957606751444,0.12028587489369313,4.1260493080538385
season,season=monsoon,3305,5.224137346113982,3.6434571616086435,0.12834853159591797,5.160920797408195
season,season=post-monsoon,7589,4.755199372789545,3.2045432775058296,0.14619253406313526,4.878421643353142
season,season=pre-monsoon,3168,6.750773921497965,4.148825461904678,0.07292735038247755,6.693931595560116
region,region=NE,3540,4.5051031785530204,2.8691918158940983,0.1707650088046242,4.4583605631133505
region,region=NW,3167,5.948802236310649,3.7827001240494487,0.0842169384799415,6.04316566245717
region,region=SE,4249,6.360313249004156,4.197411269828034,0.19044001142665767,6.423542858487821
region,region=SW,3106,4.026881753882911,3.0691671309701523,0.17375473578901268,3.981967441728659
out_of_bbox,out_of_bbox=False,14062,5.3744428083335904,3.520436916187052,0.16422136402258636,5.4035921272777925
year+season,year=2014 | season=monsoon,506,4.540201470483412,3.2965469780441103,0.1630684760321509,4.509306642079128
year+season,year=2014 | season=post-monsoon,1026,4.866165240274259,3.11187306787338,0.09205079412287831,4.878365609944883
year+season,year=2014 | season=pre-monsoon,499,6.465913751827475,3.609919507245106,0.108388717235949,6.418604538093905
year+season,year=2015 | season=monsoon,520,5.077849268561704,3.7565402211806767,0.19442213965721533,5.099780349352766
year+season,year=2015 | season=post-monsoon,1063,5.2721142084990635,3.3256034944230124,0.13256944246889468,5.331351003726046
year+season,year=2015 | season=pre-monsoon,553,6.147014873263772,4.14990458150857,-0.04208361967833496,5.953878820713581
year+season,year=2016 | season=monsoon,549,5.040846098007274,3.4957299728496594,0.16858104136842322,5.206380356621733
year+season,year=2016 | season=post-monsoon,784,4.556391439340699,3.2623426850944175,0.15130326151494233,4.733654375650913
year+season,year=2016 | season=pre-monsoon,479,8.369356990786594,4.126110146593152,0.07540429411241911,8.379002932741143
year+season,year=2017 | season=monsoon,547,4.993277186082247,3.602603258984832,0.09023350196397484,4.935687409604792
year+season,year=2017 | season=post-monsoon,1291,4.417588718244432,3.2042855918934037,0.09026116293159969,4.483198338584901
year+season,year=2017 | season=pre-monsoon,556,5.682142986678035,3.9151230751961767,0.07681030012069567,5.795219699503194
year+season,year=2018 | season=monsoon,544,5.2448104712166055,3.851016189029441,0.14349678297541646,5.20967344508295
year+season,year=2018 | season=post-monsoon,820,5.025214574624816,3.4903456789188403,0.09475593338033694,5.379829200705489
year+season,year=2018 | season=pre-monsoon,558,5.930503560103638,3.877183837597008,0.048292487619523095,5.780591535110971
year+season,year=2019 | season=monsoon,550,6.1452540242600024,3.936414787847273,0.026395554780164865,5.774683136228024
year+season,year=2019 | season=post-monsoon,1095,4.907154350846271,3.325933084519972,0.24919256661131495,5.154497282344242
year+season,year=2019 | season=pre-monsoon,523,7.7593423859417525,5.22093350710927,0.049619752481500856,7.6796093990502525
year+season,year=2020 | season=monsoon,89,5.841873806056166,3.0383320820799313,0.0926618004886195,5.712003119316414
year+season,year=2020 | season=post-monsoon,946,4.58205534559435,3.0296789569238696,0.12131727296460071,4.602206630666227
year+season,year=2021 | season=post-monsoon,564,4.072357471090246,2.7072957606751444,0.12028587489369313,4.1260493080538385
year+region,year=2014 | region=NE,539,5.774913856236574,2.8234537100218393,0.0763539604956115,5.730494994575643
year+region,year=2014 | region=NW,430,5.53436488689681,3.840772453677571,-0.02234024704495985,5.575046226017307
year+region,year=2014 | region=SE,603,4.912290053571224,3.391724330801203,0.26641848792638934,4.914835121296725
year+region,year=2014 | region=SW,459,4.64211283891732,3.1450999921295497,0.16832144198029675,4.5812609954297825
year+region,year=2015 | region=NE,553,5.114810798825847,2.962686882443546,0.059463909546646154,5.0049911838190075
year+region,year=2015 | region=NW,475,5.475546118180729,3.9151433683068215,-0.035572737051319914,5.6420489641959986
year+region,year=2015 | region=SE,638,6.687125137690354,4.523131117289266,0.15368038673406192,6.548760955304194
year+region,year=2015 | region=SW,470,3.750598263201121,2.9778682221112347,0.18495156132618784,3.8610237760648576
year+region,year=2016 | region=NE,455,3.6811296385847396,2.865640468388535,0.297129147833763,3.8761756299619217
year+region,year=2016 | region=NW,447,8.530028831564968,4.0049981079202475,0.10554683804566534,8.614520680562329
year+region,year=2016 | region=SE,502,6.182074924318232,4.268666645168974,0.2083634598852736,6.300004688631032
year+region,year=2016 | region=SW,408,3.8037882732885433,2.981048914692761,0.2398615227373342,3.8811517254945813
year+region,year=2017 | region=NE,585,3.7851548492296123,2.760111043358314,0.15958112474324748,3.7712840199873905
year+region,year=2017 | region=NW,532,5.0246616576612215,3.59304099434902,0.10304254373957522,5.089673348685866
year+region,year=2017 | region=SE,790,5.98621031746427,4.19441052053268,0.13076697550573746,6.070772532168713
year+region,year=2017 | region=SW,487,3.6983790319785133,2.9659507824005167,0.20176092489714414,3.717420652847394
year+region,year=2018 | region=NE,470,4.570043583385257,3.201243801944121,0.1992926591306995,4.459548378042641
year+region,year=2018 | region=NW,399,5.643788834772304,3.7787981390346985,0.14151829402072924,5.860624946157792
year+region,year=2018 | region=SE,630,6.439925391590994,4.371749923446277,0.12514849704443431,6.638587650388334
year+region,year=2018 | region=SW,423,3.963204971293185,3.2008920774582954,0.07766920248023113,3.867464097989067
year+region,year=2019 | region=NE,554,4.512222416452699,3.0521116765297163,0.27846517292227435,4.364275175343825
year+region,year=2019 | region=NW,523,6.065106585938011,4.174777249409659,0.09534351218301296,6.088401355470223
year+region,year=2019 | region=SE,604,7.960633412249484,5.024101867635418,0.19675598891467505,8.04601114466933
year+region,year=2019 | region=SW,487,4.493134284656062,3.3442242028603886,0.16869962003450278,4.355261829714771
year+region,year=2020 | region=NE,248,3.0456664788245233,2.245863321246467,0.13937402626394346,3.0317017828648556
year+region,year=2020 | region=NW,227,4.365312362964614,2.9513419887829273,-0.0831578966226405,4.421697553800056
year+region,year=2020 | region=SE,320,6.34784149991578,3.738858482391038,0.18522805938190334,6.495710875714277
year+region,year=2020 | region=SW,240,3.751797299403211,2.971351662779642,0.004876769381815582,3.366882841788623
year+region,year=2021 | region=NE,136,3.2785510703468375,2.3953801449289287,0.1458569290203996,3.295352370934082
year+region,year=2021 | region=NW,134,4.261318555072002,3.027988688310883,0.10960902199124856,4.480684857783868
year+region,year=2021 | region=SE,162,4.9771716954036,2.8529839500735923,0.10897863981193734,4.9606718100112905
year+region,year=2021 | region=SW,132,3.308841702926097,2.5243123118550512,0.09245890799346412,3.3120870198563725
season+region,season=monsoon | region=NE,852,3.7255274208168228,2.955266387643625,0.012422917594364868,3.6116672905578673
season+region,season=monsoon | region=NW,768,5.374970033841177,3.8968705090191573,0.06510131049118839,5.5671605289386
season+region,season=monsoon | region=SE,945,6.9221588432079155,4.551430363287689,0.0923638664827432,6.715985119264241
season+region,season=monsoon | region=SW,740,3.8387698305376317,3.0132982602846208,0.16970805358989483,3.7648556035512675
season+region,season=post-monsoon | region=NE,1858,4.314883969402184,2.538212505012784,0.13341858298442444,4.329732205366721
season+region,season=post-monsoon | region=NW,1659,4.900971444856916,3.4160491628259795,-0.011849369601782067,5.140851124040253
season+region,season=post-monsoon | region=SE,2403,5.503936360919823,3.7673253988466615,0.21972057236206743,5.689706551971299
season+region,season=post-monsoon | region=SW,1669,3.820883839867985,2.9258068329066247,0.11745079548684412,3.80336558907104
season+region,season=pre-monsoon | region=NE,830,5.535171158231061,3.521750881540947,0.008230772908449202,5.424148380780826
season+region,season=pre-monsoon | region=NW,740,8.223108790504249,4.4862015956886365,-0.0066571047217405255,8.054787016469774
season+region,season=pre-monsoon | region=SE,901,7.728147130971291,4.973158555786822,0.13602655326503843,7.80636712995621
season+region,season=pre-monsoon | region=SW,697,4.653790296931274,3.4717658422690314,0.0899622643913528,4.579444699420748
year+season+region,year=2014 | season=monsoon | region=NE,134,3.7222938601040263,2.86556079716467,0.04694522624785302,3.536971988472398
year+season+region,year=2014 | season=monsoon | region=NW,104,5.278584953016559,3.8554346072459658,0.06426709124025554,5.258489233229488
year+season+region,year=2014 | season=monsoon | region=SE,154,5.140045888900636,3.618942347206407,0.19740292352430355,5.183030823855194
year+season+region,year=2014 | season=monsoon | region=SW,114,3.754846325480185,2.8577658197095324,0.23679309773974688,3.746061242686527
year+season+region,year=2014 | season=post-monsoon | region=NE,272,5.442647133024714,2.6010265150694236,0.04670048824318773,5.481934123142942
year+season+region,year=2014 | season=post-monsoon | region=NW,229,5.154708845713362,3.7103335058524047,-0.13572708786957866,5.327831221243613
year+season+region,year=2014 | season=post-monsoon | region=SE,291,4.774554780150096,3.231388078046201,0.26506483090968935,4.6862828401986825
year+season+region,year=2014 | season=post-monsoon | region=SW,234,3.8781818540335786,2.9713771452459814,0.09075016097600908,3.784870556280958
year+season+region,year=2014 | season=pre-monsoon | region=NE,133,7.785431970129203,3.2359187276903953,0.048969344960059,7.682414358340014
year+season+region,year=2014 | season=pre-monsoon | region=NW,97,6.570780087117795,4.132995701933757,-0.06294985187523028,6.412590514499125
year+season+region,year=2014 | season=pre-monsoon | region=SE,158,4.935221020624302,3.465561514505658,0.3074039377585066,5.055439498423891
year+season+region,year=2014 | season=pre-monsoon | region=SW,111,6.551519960841813,3.8064264950722246,0.11492376866313525,6.4943520982271945
year+season+region,year=2015 | season=monsoon | region=NE,138,3.9094422024841475,3.1312114770706994,0.09109416283937,3.8251839843080746
year+season+region,year=2015 | season=monsoon | region=NW,116,5.942266250504651,4.33087160425611,-0.013739913663955994,6.203949565868605
year+season+region,year=2015 | season=monsoon | region=SE,155,6.105969789142286,4.532843350895032,0.2482619023082423,6.063090034177109
year+season+region,year=2015 | season=monsoon | region=SW,111,3.581667669045521,2.849746898159967,0.24671705733136928,3.477245502917162
year+season+region,year=2015 | season=post-monsoon | region=NE,274,5.991457596186133,2.7204514471793266,0.06666237699558586,6.010361793194509
year+season+region,year=2015 | season=post-monsoon | region=NW,234,5.274119300018338,3.659674385917589,-0.1953931102030355,5.492616366171964
year+season+region,year=2015 | season=post-monsoon | region=SE,321,5.570479400260835,3.9417556508408826,0.27313394987192174,5.569744806668285
year+season+region,year=2015 | season=post-monsoon | region=SW,234,3.721399761475552,2.854895076153366,0.1571468078983682,3.7543621374729645
