w1,w2,w3,policy,seed,mean_crop_revenue,mean_depletion_penalty
1.0,0.0,0.0,bc,42,0.11040616437794361,0.09045561339394112
1.0,0.0,0.0,bc,123,0.03177461147285725,0.005821593362710324
1.0,0.0,0.0,bc,2024,0.08795395448034847,0.05247291233808485
1.0,0.0,0.0,cql,42,0.2940288475976035,0.23513404949798478
1.0,0.0,0.0,cql,123,0.40516969575509443,0.6564395753211575
1.0,0.0,0.0,cql,2024,0.45151059190595544,0.8295708093957868
1.0,2.0,0.0,bc,42,0.11040616437794361,0.09045561339394112
1.0,2.0,0.0,bc,123,0.03177461147285725,0.005821593362710324
1.0,2.0,0.0,bc,2024,0.08795395448034847,0.05247291233808485
1.0,2.0,0.0,cql,42,0.2940288475976035,0.23513404949798478
1.0,2.0,0.0,cql,123,0.40516969575509443,0.6564395753211575
1.0,2.0,0.0,cql,2024,0.45151059190595544,0.8295708093957868
0.0,2.0,0.5,bc,42,0.11040616437794361,0.09045561339394112
0.0,2.0,0.5,bc,123,0.03177461147285725,0.005821593362710324
0.0,2.0,0.5,bc,2024,0.08795395448034847,0.05247291233808485
0.0,2.0,0.5,cql,42,0.2940288475976035,0.23513404949798478
0.0,2.0,0.5,cql,123,0.40516969575509443,0.6564395753211575
0.0,2.0,0.5,cql,2024,0.45151059190595544,0.8295708093957868
1.0,0.0,0.5,bc,42,0.11040616437794361,0.09045561339394112
1.0,0.0,0.5,bc,123,0.03177461147285725,0.005821593362710324
1.0,0.0,0.5,bc,2024,0.08795395448034847,0.05247291233808485
1.0,0.0,0.5,cql,42,0.2940288475976035,0.23513404949798478
1.0,0.0,0.5,cql,123,0.40516969575509443,0.6564395753211575
1.0,0.0,0.5,cql,2024,0.45151059190595544,0.8295708093957868
1.0,1.0,0.5,bc,42,0.11040616437794361,0.09045561339394112
1.0,1.0,0.5,bc,123,0.03177461147285725,0.005821593362710324
1.0,1.0,0.5,bc,2024,0.08795395448034847,0.05247291233808485
1.0,1.0,0.5,cql,42,0.2940288475976035,0.23513404949798478
1.0,1.0,0.5,cql,123,0.40516969575509443,0.6564395753211575
1.0,1.0,0.5,cql,2024,0.45151059190595544,0.8295708093957868
1.0,4.0,0.5,bc,42,0.11040616437794361,0.09045561339394112
1.0,4.0,0.5,bc,123,0.03177461147285725,0.005821593362710324
1.0,4.0,0.5,bc,2024,0.08795395448034847,0.05247291233808485
1.0,4.0,0.5,cql,42,0.2940288475976035,0.23513404949798478
1.0,4.0,0.5,cql,123,0.40516969575509443,0.6564395753211575
1.0,4.0,0.5,cql,2024,0.45151059190595544,0.8295708093957868
1.0,2.0,0.5,bc,42,0.11040616437794361,0.09045561339394112
1.0,2.0,0.5,bc,123,0.03177461147285725,0.005821593362710324
1.0,2.0,0.5,bc,2024,0.08795395448034847,0.05247291233808485
1.0,2.0,0.5,cql,42,0.2940288475976035,0.23513404949798478
1.0,2.0,0.5,cql,123,0.40516969575509443,0.6564395753211575
1.0,2.0,0.5,cql,2024,0.45151059190595544,0.8295708093957868
